CL	Count
EW-3_COSMIC	268
EW-7_COSMIC	436
FADU_COSMIC	962
FARAGE_COSMIC	1603
FLO-1_COSMIC	345
FTC-133_COSMIC	811
FU-OV-1_COSMIC	465
FU97_COSMIC	562
G-292_COSMIC	161
G-361_COSMIC	428
G-401_COSMIC	241
G-402_COSMIC	313
G-MEL_COSMIC	777
GA-10_COSMIC	293
GAK_COSMIC	411
GAMG_COSMIC	243
GB-1_COSMIC	687
GCIY_COSMIC	413
GCT_COSMIC	1058
GDM-1_COSMIC	269
GEO_COSMIC	485
GI-1_COSMIC	598
GI-ME-N_COSMIC	459
GMS-10_COSMIC	220
GOTO_COSMIC	532
GP5D_COSMIC	6596
GR-ST_COSMIC	3914
GRANTA-519_COSMIC	220
GT3TKB_COSMIC	444
H-EMC-SS_COSMIC	480
H2369_COSMIC	234
H2373_COSMIC	235
H2461_COSMIC	216
H2591_COSMIC	195
H2595_COSMIC	219
H2722_COSMIC	240
H2731_COSMIC	224
H2795_COSMIC	186
H2803_COSMIC	280
H2804_COSMIC	191
H2810_COSMIC	240
H2818_COSMIC	188
H2869_COSMIC	212
H290_COSMIC	270
H3118_COSMIC	228
H3255_COSMIC	238
H4_COSMIC	363
H513_COSMIC	2703
H9_COSMIC	474
HA7-RCC_COSMIC	126
HAL-01_COSMIC	483
HARA_COSMIC	1122
HC-1_COSMIC	260
HCC-15_COSMIC	1054
HCC-33_COSMIC	503
HCC-366_COSMIC	712
HCC-44_COSMIC	484
HCC-56_COSMIC	594
HCC-78_COSMIC	415
HCC-827_COSMIC	289
HCC1143_COSMIC	179
HCC1187_COSMIC	120
HCC1395_COSMIC	385
HCC1419_COSMIC	372
HCC1428_COSMIC	445
HCC1500_COSMIC	321
HCC1569_COSMIC	2001
HCC1599_COSMIC	185
HCC1806_COSMIC	408
HCC1937_COSMIC	145
HCC1954_COSMIC	172
HCC202_COSMIC	544
HCC2157_COSMIC	234
HCC2218_COSMIC	321
HCC2998_COSMIC	9412
HCC38_COSMIC	164
HCC70_COSMIC	294
HCE-4_COSMIC	571
HCT-116_COSMIC	3108
HCT-15_COSMIC	8289
HD-MY-Z_COSMIC	304
HDLM-2_COSMIC	398
HDQ-P1_COSMIC	436
HEC-1_COSMIC	5082
HELA_COSMIC	418
HEL_COSMIC	317
HEP_COSMIC	355
HEY_COSMIC	325
HGC-27_COSMIC	843
HH_COSMIC	312
HL-60_COSMIC	193
HLE_COSMIC	438
HMV-II_COSMIC	617
HN_COSMIC	482
HO-1-N-1_COSMIC	458
HO-1-U-1_COSMIC	512
HOP-62_COSMIC	750
HOP-92_COSMIC	577
HOS_COSMIC	458
HPAC_COSMIC	341
HPAF-II_COSMIC	248
HS-445_COSMIC	249
HS-578-T_COSMIC	267
HS633T_COSMIC	258
HS683_COSMIC	196
HS746T_COSMIC	473
HS766T_COSMIC	276
HS939-T_COSMIC	741
HS940-T_COSMIC	198
HSC-2_COSMIC	576
HSC-39_COSMIC	538
HSC-3_COSMIC	649
HSC-4_COSMIC	576
HT-1080_COSMIC	209
HT-115_COSMIC	7511
HT-1197_COSMIC	316
HT-1376_COSMIC	400
HT-144_COSMIC	268
HT-29_COSMIC	502
HT-3_COSMIC	528
HT55_COSMIC	1433
HTC-C3_COSMIC	530
HT_COSMIC	1986
HUCCT1_COSMIC	504
HUH-1_COSMIC	620
HUH-6-CLONE5_COSMIC	675
HUH-7_COSMIC	524
HUO-3N1_COSMIC	381
HUO9_COSMIC	369
HUP-T3_COSMIC	335
HUP-T4_COSMIC	360
HUTU-80_COSMIC	369
IA-LM_COSMIC	684
IGR-1_COSMIC	1703
IGR-37_COSMIC	517
IGROV-1_COSMIC	2532
IHH-4_COSMIC	655
IM-95_COSMIC	2004
IM-9_COSMIC	256
IMR-5_COSMIC	357
IPC-298_COSMIC	1620
IST-MEL1_COSMIC	522
IST-MES1_COSMIC	299
IST-SL1_COSMIC	495
IST-SL2_COSMIC	517
J82_COSMIC	207
JAR_COSMIC	627
JEG-3_COSMIC	596
JEKO-1_COSMIC	484
JHH-1_COSMIC	574
JHH-2_COSMIC	518
JHH-4_COSMIC	504
JHH-6_COSMIC	469
JHH-7_COSMIC	920
JHOS-2_COSMIC	454
JHOS-3_COSMIC	507
JHOS-4_COSMIC	581
JHU-011_COSMIC	299
JHU-022_COSMIC	291
JHU-029_COSMIC	546
JIMT-1_COSMIC	283
JIYOYEP-2003_COSMIC	440
JJN-3_COSMIC	393
JM1_COSMIC	239
JSC-1_COSMIC	1037
JURKAT_COSMIC	6434
JURL-MK1_COSMIC	336
JVM-2_COSMIC	241
JVM-3_COSMIC	329
K-562_COSMIC	485
K2_COSMIC	1054
K5_COSMIC	380
KALS-1_COSMIC	419
KARPAS-1106P_COSMIC	483
KARPAS-231_COSMIC	293
KARPAS-299_COSMIC	247
KARPAS-422_COSMIC	462
KARPAS-45_COSMIC	6981
KARPAS-620_COSMIC	251
KASUMI-1_COSMIC	474
KATOIII_COSMIC	765
KCL-22_COSMIC	2963
KE-37_COSMIC	240
KELLY_COSMIC	300
KG-1_COSMIC	331
